"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","explicit"
"The Windmills Of Your Mind",708,"6MUHAvKGAmKXojn8wdFB71",0.281,0.276,0,-11.752,0,0.038,0.51,0,0.135,0.238,154.097,231467,4,47.311,12,1,0
"Dancin' Party",140,"2CWHPSHL2Qw3qubRaGcfuP",0.662,0.755,2,-7.173,1,0.0294,0.263,5.44e-05,0.278,0.886,79.136,148133,4,19.3747,5,1,0
"Playboy",104,"5jsxE1nDuRrEgN9gmbWWYS",0.863,0.691,0,-5.611,1,0.0535,0.371,0,0.0597,0.916,123.757,164840,4,28.04748,10,1,0
"Mrs. Parker Of K.C. (Bird's Mother)",762,"4QYrJ1mFha80nmRt9yoy6F",0.541,0.365,7,-16.999,0,0.124,0.761,0.111,0.123,0.748,114.412,481000,4,90.83275,16,0,0
"Am I That Easy To Forget",175,"5HcqnshkXbcCVIXxc75vi4",0.429,0.334,4,-13.55,1,0.0284,0.301,0,0.0881,0.453,108.802,189933,3,17.43627,9,1,0
"Oh, How To Do Now",390,"2ydpy4Ub6xclV2BsDxO7S9",0.571,0.985,7,-7.393,1,0.224,0.611,0.00105,0.326,0.586,159.422,196427,4,37.36528,9,0,0
"Be True To Your School",10,"37o6qDvBt3WBejQdFKNSui",0.528,0.722,10,-6.128,1,0.0344,0.501,6.02e-06,0.0705,0.86,138.648,128693,4,38.21463,7,1,0
"Hawaii Five-O",153,"3UUwbJd2j4RORlalTUhaDk",0.518,0.782,9,-9.753,1,0.0631,0.265,0.654,0.0769,0.861,163.642,113893,4,38.29186,5,1,0
"Do Your Own Thing",448,"3N7Wot7AqvSIse5GhHequ0",0.532,0.19,3,-17.101,1,0.0251,0.825,1.7e-06,0.139,0.47,78.466,178267,4,32.07458,9,1,0
"Hats Off To Larry",328,"0Eok7UwcfOhuNxBNnJzeHY",0.44,0.719,11,-4.469,1,0.0348,0.664,3.29e-06,0.322,0.635,79.99,122200,4,52.57092,6,1,0
"Vem Morena Vem",125,"75wVq4apQLxpOM6R58lMhy",0.614,0.473,10,-8.303,0,0.0705,0.725,0,0.454,0.754,91.747,117133,4,28.35606,7,0,0
"Et pourtant - BOF ""Cherchez l’idole""",52,"0lNl8IqOKHfJJviqQKqtJr",0.539,0.631,2,-4.981,0,0.0321,0.517,0,0.57,0.622,115.717,171227,4,28.67916,11,0,0
"I Do Love You",638,"3J0VYipa6lrdBkjLM7j4iI",0.377,0.499,7,-7.646,1,0.0314,0.848,0.000296,0.268,0.446,176.074,177947,4,39.849,7,1,0
"What's The Ugliest Part Of Your Body?",28,"56YzpDU2z20vOMRjRHtGBd",0.4,0.337,7,-11.868,1,0.0705,0.744,2.16e-05,0.283,0.673,182.945,63013,5,24.51231,3,0,0
"Down In The Boondocks",846,"2wTdZ6wy0AJp5LcYzWcVt5",0.675,0.588,9,-11.031,1,0.0457,0.492,9.45e-06,0.0953,0.94,82.949,153147,4,81.38612,5,1,0
"Runnin' Out Of Fools",88,"0MCH9gCM4CphdKB6NWivyQ",0.521,0.506,7,-8.906,0,0.0379,0.791,0,0.124,0.63,79.879,152960,3,26.30001,8,1,0
"All Over the World - Remastered",76,"3YhJwSsJ1i739rmqGS3gaF",0.478,0.305,6,-10.562,1,0.0286,0.34,3.84e-06,0.0838,0.475,104.716,149640,3,49.07707,8,0,0
"Batida Diferente",171,"2oII0CA5hZ3owzKUvL6onG",0.539,0.369,7,-16.977,1,0.0406,0.755,0.249,0.26,0.756,97.711,224467,4,50.28677,11,0,0
"Little Boy Sad",108,"3t8I5LfRhVdqdxdGeKFnUv",0.391,0.738,6,-9.169,0,0.114,0.00172,0.00306,0.0798,0.789,193.358,125693,4,34.64302,8,1,0
"Gitarzan",819,"0iE8CuhrbtabeFRnrQYmZP",0.435,0.804,0,-8.48,1,0.169,0.466,0,0.942,0.727,93.83,187040,3,34.82349,11,1,0
"I Wish It Would Rain",665,"1tjpccwiGZTMDfHr5VGCmT",0.388,0.449,3,-12.584,1,0.088,0.443,0,0.265,0.692,179.651,162707,4,49.44854,10,1,0
"Tonight",848,"4N0r5srgTtFpFOAkqc0VmU",0.256,0.346,3,-6.759,1,0.0346,0.846,7.71e-06,0.392,0.369,115.285,165107,4,26.83744,9,1,0
"Crimson And Clover [Mono Version] (45 version)",614,"1qTfHUVPsZTnrmvwQrAQdW",0.405,0.592,11,-12.309,1,0.0698,0.262,0.021,0.166,0.659,82.736,208667,4,76.91806,5,0,0
"My Angel (Malaika)",102,"0eP52OQtijQQzZBXDc923Z",0.312,0.0478,5,-23.306,1,0.0402,0.968,0.000294,0.11,0.527,207.956,195120,4,30.55781,9,0,0
"Come Dance With Me",427,"48Ji4tkYnrCT44PYlkyQrk",0.65,0.673,4,-11.816,1,0.0446,0.481,1.58e-05,0.11,0.93,150.25,150933,4,23.27881,10,1,0
"Esperança Perdida",379,"23B3qvyofW4h8pewH8Pkrf",0.466,0.361,7,-17.059,0,0.0286,0.251,0.0386,0.197,0.555,143.63,126267,4,21.75542,7,0,0
"Holiday",160,"4SyA5GahcFVbJEcDooBybR",0.5,0.145,9,-14.169,0,0.03,0.921,0,0.0857,0.197,104.713,175893,4,25.74296,9,1,0
"No Lo Niego",98,"55XJKwS9Sv7TG2d4Bihocl",0.403,0.275,4,-11.367,0,0.0287,0.806,0.000807,0.244,0.588,79.882,165373,4,24.17844,8,0,0
"All My Loving",27,"4joiWvli4qJVEW6qZV2i2J",0.416,0.563,1,-8.724,0,0.0298,0.207,0,0.343,0.9,77.56,127853,4,42.83176,5,1,0
"País Tropical",403,"0ypyIQO9bJyIb9Z0WUFGNo",0.648,0.562,2,-12.004,1,0.0788,0.183,0,0.0658,0.947,80.658,227133,4,39.47346,11,0,0
"Visages",129,"2TEJP5Ze3UwQnVmarR2SyZ",0.31,0.618,0,-9.981,1,0.0328,0.27,0.252,0.243,0.335,102.669,166407,3,31.3548,10,0,0
"Pepino The Italian Mouse",849,"4YZzhEfuPRYSAYXLWR2tWH",0.792,0.529,1,-8.872,1,0.143,0.697,0,0.066,0.874,125.551,161320,4,24.93437,11,1,0
"Baião Do Acre",418,"0swsymKJ8OQHh3ZdI00WxV",0.659,0.77,2,-8.489,1,0.0467,0.168,0,0.167,0.965,106.748,122147,4,26.38325,8,0,0
"Twenty Miles",140,"65X6ApzxPvmXdk6XOdwSMy",0.802,0.647,9,-7.374,1,0.0323,0.55,0,0.306,0.852,121.331,131053,4,34.00719,6,1,0
"Esther",434,"23Dp3LrAgRTXS9WG8rzr0k",0.137,0.0681,3,-24.208,1,0.0371,0.973,0.924,0.102,0.0476,85.418,155040,4,27.96565,8,0,0
"Un homme et une femme",555,"41GeHFz9Rga2ZigTfd7UPh",0.612,0.295,11,-7.535,1,0.0364,0.837,0.000188,0.0988,0.275,133.303,159853,3,29.99652,9,0,0
"Summer Rain",358,"1yfHCiyxfm3XlKpFj5zsJU",0.514,0.533,4,-12.024,0,0.033,0.25,0.00428,0.575,0.626,117.684,232427,4,30.01662,16,1,0
"Bond Averts World War Three",166,"7yiLg4adCpewTZR7sIyIJc",0.282,0.459,1,-10.58,1,0.0356,0.82,0.938,0.11,0.311,81.128,138760,4,63.61378,6,0,0
"Hey Now",223,"5xhP0ie13xzoWAvfmsb6vn",0.591,0.564,4,-9.253,1,0.0314,0.457,0,0.741,0.963,119.478,135000,4,56.91305,5,1,0
"Sheila",246,"5Mzu8smN6fRBCaUaTytD1W",0.422,0.575,4,-8.993,1,0.107,0.275,0,0.062,0.475,135.63,127067,4,31.6633,5,1,0
"Just A Little",853,"4PXJjX7PQGzCh4G5WR4Pli",0.591,0.611,9,-9.179,0,0.0394,0.165,3.71e-05,0.114,0.655,128.241,145507,4,24.65439,8,1,0
"I Can't Get Started",77,"0W05OaNyoKk3m4gdSlljts",0.385,0.135,0,-19.052,1,0.0443,0.992,0.922,0.119,0.167,70.935,221067,3,79.2635,9,0,0
"Nocturnes, Op. 9: No. 1 in B-Flat Minor",816,"6mry9fDj4oTFudQAMRo1lV",0.26,0.0191,3,-23.594,0,0.041,0.992,0.892,0.0864,0.059,62.106,325893,4,30.61256,16,0,0
"Anthropology",273,"2SBpa2WUprSqT95278U8NR",0.667,0.193,8,-20.192,1,0.0497,0.802,0.0033,0.0589,0.556,95.433,251640,4,22.71353,9,0,0
"One More Dance - Live",102,"3prwJlAVklCpIdi3d5Sks8",0.438,0.101,1,-17.848,1,0.4,0.914,0,0.7,0.561,173.177,229009,5,78.70771,8,0,0
"Judy",284,"4udD4pBxCAjQa1WlETzMMz",0.625,0.484,7,-11.923,1,0.0282,0.834,0.00086,0.318,0.961,141.326,132400,4,39.50601,7,1,0
"Put Your Arms Around Me Honey",380,"5y5Hbumds0xwLEp1Xahne2",0.476,0.464,3,-13.332,1,0.0374,0.225,0.00227,0.0658,0.95,98.798,118267,4,20.91206,8,1,0
"I've Lost Everything I've Ever Loved",498,"28UrAmoEF3BLUELuIBDAjO",0.643,0.744,11,-9.241,1,0.0516,0.0466,0,0.0807,0.782,104.202,180213,4,34.54808,8,1,0
"I Want To Be Loved",493,"4dJBODV6g7zryS6HpszS5M",0.347,0.272,8,-8.471,1,0.0333,0.89,1.25e-06,0.136,0.292,178.53,175440,3,41.309,8,1,0
"Rat Race",204,"5zYRLs7Zvmqu2riKoU0V0P",0.622,0.37,9,-14.766,0,0.16,0.496,0,0.376,0.385,101.108,132467,4,58.98468,7,1,0
"A Poor Wayfaring Stranger",706,"1p1CiFcZZ7eNbzbdZARlpp",0.399,0.146,4,-13.35,0,0.0342,0.916,0.00268,0.0892,0.369,131.812,173973,5,21.49924,10,0,0
"The Lady Came From Baltimore",23,"3mGxRlpp7724U9rC503KZc",0.397,0.39,11,-17.695,1,0.0324,0.394,2.13e-05,0.239,0.887,150.599,117080,4,44.6873,5,0,0
"Speedy Gonzales",593,"3TmnUIbelFiDzrhZqavHU0",0.589,0.447,11,-12.912,1,0.0748,0.821,0,0.0999,0.789,146.845,153093,4,33.36811,7,1,0
"Hey Jude",27,"0aym2LBJBk9DAYuHHutrIl",0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653,4,26.10728,21,1,0
"Sing A Simple Song",294,"3QbfWiLvHcAMYmdRPd9WnX",0.463,0.693,11,-10.387,0,0.0782,0.327,2.76e-06,0.236,0.735,100.965,235827,4,31.21546,12,1,0
"Cuatro Cirios",120,"51TXh9C0mpbT7jY1qWu4dc",0.506,0.327,9,-11.893,0,0.0377,0.9,4.24e-06,0.339,0.465,111.154,168373,3,51.26839,9,0,0
"Theme From ""A Summer Place""",153,"28rEzQX1KickP9tCYZ3q1a",0.65,0.361,5,-13.277,1,0.0306,0.63,0.0799,0.0536,0.948,99.236,138560,3,47.6848,7,1,0
"Invocation And Ritual Dance Of The Young Pumpkin",28,"7lUqfEQAeN54vEvzTTBssG",0.205,0.839,2,-7.574,1,0.0657,5.38e-06,0,0.545,0.586,185.489,419413,4,26.93473,21,0,0
"Corina",115,"7zNH92n96Ckq8IvYcwcmd3",0.7,0.576,0,-6.988,1,0.038,0.58,0,0.569,0.944,116.886,177880,4,49.43201,9,0,0
"Lo Estoy Notando",43,"3AtnB76Bzs3vWSFflA3saz",0.554,0.222,2,-13.666,0,0.0328,0.472,0.00248,0.434,0.562,99.431,184867,4,23.02424,8,0,0
"Carnival of the Animals, R. 125: Pianists",335,"00EfoGDgbySqziFMbchaS1",0.36,0.145,0,-21.793,0,0.0404,0.995,0.838,0.127,0.307,90.125,82133,4,27.66843,6,0,0
"My Generation",661,"4u9f8hqstB7iITDJNzKhQx",0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,198707,4,26.3874,9,1,0
"Susie Darlin'",246,"1nhJcUXlLFsjXdmxeEfv5b",0.316,0.358,10,-11.406,1,0.0478,0.832,0,0.234,0.59,209.482,139040,4,24.4289,8,1,0
"Sonho de um Carnaval",215,"6VlapIlYfqtoiWsE0DZUsE",0.531,0.716,4,-7.925,0,0.0319,0.705,0.00439,0.27,0.843,94.187,133360,4,39.39325,6,0,0
"I Saw Her Standing There",27,"3KiexfmhxHvG5IgAElmTkd",0.491,0.801,4,-9.835,1,0.0361,0.27,0,0.0665,0.971,160.109,173947,4,30.50963,7,1,0
"Saturday Sun",563,"1drLQNS9D5z9lBP4DbtO2R",0.546,0.121,0,-20.259,1,0.0343,0.966,0.011,0.101,0.144,127.123,245013,3,83.45421,10,0,0
"Mountains And Sunsets",166,"5mVmZVnRoJ8QZTqdcG7EtZ",0.182,0.174,10,-15.054,1,0.0384,0.364,0.824,0.114,0.0723,113.119,194107,4,27.00561,11,0,0
"Baby Don't You Do It",40,"0zhbuGipWggtIVw2A1hrUT",0.593,0.595,10,-11.343,1,0.0607,0.507,0.00056,0.12,0.925,83.299,158493,4,31.14476,6,1,0
"Forgotten Places",379,"1J9K10zEyNZtWKtPDcoHGI",0.426,0.23,4,-18.195,0,0.0311,0.474,0.0136,0.106,0.558,106.05,131587,4,39.24729,7,0,0
"To Susan On The West Coast Waiting",86,"0Ifdz8UB0BV0ky73ezJTkv",0.62,0.103,0,-24.071,1,0.0569,0.257,0.807,0.167,0.791,109.301,192360,4,52.02809,7,1,0
"Ramblin' Rose",729,"6bZlab0NrNteVppLu9C2Zy",0.431,0.379,9,-8.615,1,0.0267,0.794,0,0.303,0.31,97.061,167853,4,31.38284,10,1,0
"He Sabido Que Te Amaba (Ho Capito Che Ti Amo)",120,"4kqpiX1DYBKBS0FIpOVaHB",0.537,0.256,4,-9.205,0,0.0305,0.927,3.76e-05,0.361,0.599,98.77,169600,4,37.49107,8,0,0
"So Good Together",864,"7ntvk3Wh8i14tnMyAkRpfk",0.625,0.686,9,-7.84,1,0.0308,0.279,0,0.0883,0.848,100.394,174560,4,31.95392,9,1,0
"Quanto costa morire",709,"6EWgQkbpK6QOPqGCdMFYCX",0.516,0.433,4,-15.145,0,0.035,0.269,0,0.43,0.741,103.009,152927,4,32.26773,10,0,0
"The Intro And The Outro - 2007 Remastered Version",177,"6MDNqJbi5J59cmqF4OPX0J",0.63,0.767,3,-11.201,1,0.23,0.299,0,0.278,0.637,125.74,183653,4,53.51538,8,0,0
"Appalachian Spring: VIII. Coda. Moderato",259,"2URjwQulkDiDmFdjSPrcSc",0.0623,0.00246,0,-39.609,1,0.0457,0.972,0.853,0.0771,0.0428,70.2,205533,3,76.32757,9,0,0
"They're Coming To Take Me Away, Ha-Haaa!",867,"794O0j1i57zgUMC7BCBMqY",0.821,0.707,1,-17.299,1,0.269,0.487,0,0.536,0.228,107.03,134067,4,41.78797,6,1,0
"Samba de Aviao",7,"0xTFGnKNP2ydFUyGunKPUD",0.318,0.153,10,-19.717,0,0.0399,0.654,1.21e-05,0.0863,0.232,152.684,130867,4,40.25148,8,0,0
"Dupree's Diamond Blues - 2001 Remaster",870,"1bY3fB4kNjNG2HvLirkLpl",0.523,0.452,2,-9.312,0,0.0285,0.341,0,0.203,0.831,101.235,212093,4,49.05286,10,0,0
"When You Wish Upon a Star - Remastered 1995",107,"5dA74ZQRFFs5Asb1GvNUhI",0.559,0.233,2,-13.992,1,0.0409,0.658,0.631,0.0974,0.407,137.407,197400,4,40.12414,10,0,0
"Chelsea Morning",872,"5G0q5jtbxFCoqfbIDCIGky",0.57,0.35,4,-8.849,1,0.0288,0.855,0,0.186,0.781,88.361,151600,4,33.73091,6,0,0
"El Amor de la Paloma",477,"61z8k0TXIgTGKrFovQ5RJZ",0.542,0.37,4,-8.174,1,0.031,0.598,0,0.16,0.72,114.654,200387,4,32.66376,12,0,0
"Cien Mil Cosas",43,"2r8h4sI14yTfjs8CVGNDP4",0.668,0.22,4,-10.316,0,0.0373,0.666,0,0.111,0.456,95.307,165080,4,49.65173,8,0,0
"Bound for the Rio Grande",22,"3htGJQm632Z6jqmyDY4sNH",0.299,0.233,5,-18.98,1,0.0525,0.993,5.45e-06,0.144,0.312,140.561,144067,4,43.98379,8,0,0
"Go",877,"24mcjv8HG3Db33HGh16O4Z",0.351,0.287,2,-15.535,0,0.032,0.669,0.00267,0.361,0.261,142.341,342573,4,39.41834,16,0,0
"No Me Hagas Menos",136,"03ZnP4f6xyY6sDrPX3fz83",0.357,0.288,7,-6.611,1,0.0281,0.56,6.94e-06,0.164,0.487,91.174,175680,4,47.85534,9,0,0
"Good News",588,"4UcxTnA6C5vCW79PIZ38Vx",0.663,0.638,2,-8.765,1,0.0592,0.691,0,0.302,0.869,119.479,146493,4,49.12307,7,1,0
"So You Want To Be A Rock 'N' Roll Star",195,"3PFOfOdzObTrsIA7pTkJWN",0.37,0.683,2,-8.163,1,0.0387,0.0036,6.32e-06,0.451,0.728,154.044,126160,4,28.3329,8,1,0
"Roses Are Red (My Love)",152,"0qYok0f8O5DE8yJSo146dn",0.515,0.218,5,-10.071,1,0.0287,0.828,0,0.302,0.534,102.997,158933,4,26.29142,9,1,0
"Send Me Some Lovin'",588,"41WtJR2e4HUFOsrzcq73kg",0.342,0.359,9,-12.21,1,0.0384,0.8,0,0.887,0.685,128.156,158880,3,29.74293,9,1,0
"Nothing But A Heartache",880,"1b63ryTONnLSP14Oytqp6p",0.489,0.936,8,-4.909,1,0.0533,0.000168,0.000263,0.149,0.822,111.845,164240,4,50.21409,8,1,0
"Muchacho Triste y Solitario (Lonely Blue Boy)",47,"0Vy5Xw0ldSYuKHcTayt1bE",0.323,0.376,11,-15.845,1,0.0285,0.66,0,0.723,0.365,91.355,166547,3,38.20103,10,0,0
"Just Once In My Life",621,"3Qg7WE98qRezh4Jq9fCKr8",0.321,0.403,2,-13.115,1,0.0344,0.666,0.341,0.189,0.26,94.675,227013,4,33.76767,12,1,0
"Aún",265,"4D7hDkbVJ7dgaL5OM1Zn1f",0.471,0.583,9,-5.049,0,0.028,0.817,0.000143,0.163,0.731,96.063,137253,4,62.51798,4,0,0
"(I Wanna) Love My Life Away",132,"1fNR9tY52D1V79V5eNqxxx",0.548,0.694,0,-9.356,1,0.0359,0.811,5.38e-05,0.596,0.924,136.36,114907,4,30.44437,6,1,0
"A Steel Guitar And A Glass Of Wine",262,"54xxVmu4bycyQ7psgJdzrh",0.692,0.595,5,-10.899,1,0.0433,0.111,0,0.398,0.967,127.006,135133,4,43.30964,8,1,0
"Can't You Find Another Way (Of Doing It)",395,"47bDqW4ZFJybnMwF9wkSZi",0.773,0.657,0,-9.578,1,0.0342,0.445,0.0024,0.0976,0.901,111.226,146253,4,41.70537,8,1,0
"Corcovado",7,"5lIHXOftJDoJMOsi9IV5Nu",0.613,0.187,7,-22.096,1,0.0347,0.316,0.544,0.076,0.609,121.209,145960,4,35.41469,9,0,0
"The Race Is On",307,"2VDWYSr081eTN3US0x9mOH",0.415,0.719,6,-9.856,1,0.0395,0.357,0,0.0988,0.938,183.027,106627,5,28.14682,7,1,0
"I Surrender, Dear",88,"6Y3RU7srd76PTBlYBurbYS",0.31,0.414,9,-11.363,0,0.0734,0.693,3.21e-05,0.42,0.481,179.77,164667,3,66.29284,8,1,0
"El Que Se Fue - Live",38,"1M8EFqMgsOCm7Sr1ieFJ9R",0.848,0.578,9,-8.93,0,0.243,0.793,5.8e-05,0.138,0.916,106.044,275507,4,58.0505,10,0,0
"Canco de Matinada",35,"3frkPryxZpvIzG3IMkQb0C",0.511,0.407,2,-6.684,1,0.0468,0.681,0,0.0871,0.648,129.62,159173,4,78.93295,8,0,0
"Triste",7,"1N9e1myOWV26evyObwnkoM",0.405,0.341,9,-20.45,1,0.0517,0.838,0.911,0.0748,0.147,82.369,129533,4,35.55266,7,0,0
"Lucky Lips",884,"4xHXqIwdjXRYJvwT8HNByt",0.686,0.481,4,-12.25,1,0.045,0.793,0,0.216,0.902,144.862,163840,4,40.52231,9,1,0
"Go Now!",194,"0LXCH2FepNHonEtz61tenS",0.343,0.522,5,-10.082,0,0.0348,0.385,0,0.132,0.693,119.911,191013,3,48.6071,10,1,0
"Save The Last Dance For Me",204,"391TUcoPonqYykPkSZ5Z9U",0.54,0.53,4,-10.583,1,0.0361,0.614,0,0.198,0.896,143.453,154960,4,39.70108,9,1,0
"Sir John in Love: Fantasia on Greensleeves",886,"5OVMZdkNWcAEqQW2op4VEH",0.151,0.0759,0,-25.85,0,0.0411,0.828,0.627,0.0857,0.108,104.582,301707,3,28.5233,13,0,0
"Hey, Leroy, Your Mama's Callin' You",887,"1o4emNAxfYGZU6vugcv0XP",0.713,0.79,0,-8.853,1,0.0399,0.398,0.478,0.225,0.951,105.762,150227,4,80.17774,5,1,0
"Blues On The Corner",690,"4dL4C5uezPiXv2l6sout5U",0.461,0.626,5,-9.44,0,0.0433,0.619,0,0.17,0.523,117.364,360133,4,50.86455,16,0,0
"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo",893,"2jm4r2LruBBzaEM1Q3rNOg",0.266,0.19,10,-23.082,1,0.0409,0.693,0.00142,0.113,0.28,132.554,137867,4,52.10394,6,0,0
"Behold That Star",22,"0xil27NHnT94sGzroy4SM3",0.343,0.0734,1,-17.312,1,0.0494,0.993,1.2e-05,0.0783,0.268,91.588,135333,4,48.43677,7,0,0
"1969 - 2019 Remaster",90,"4bscUDqkO6soLEFXMr22ji",0.485,0.829,2,-5.251,1,0.0524,0.000176,0.0229,0.178,0.726,106.98,247840,4,44.31165,10,0,0
"The Song Of The Sabia",7,"5G7fplSe9hEPcxSCSt8LsY",0.244,0.208,1,-12.194,1,0.0298,0.912,0.00406,0.144,0.151,79.992,219573,4,25.28553,14,0,0
"Le temps des souvenirs",76,"14eWs19qZhBfknzP4sCyvB",0.535,0.689,0,-8.263,1,0.0293,0.487,0,0.296,0.502,113.498,150773,4,39.76018,8,0,0
"Soul Sister, Brown Sugar",395,"7nu9JKvNCQ0y41fQZpQHmD",0.635,0.637,10,-7.938,1,0.0614,0.347,0,0.343,0.704,126.436,149986,4,26.67608,11,1,0
"Lollipops And Roses",307,"67JIfYdnRNXSSP1uPRmE2j",0.266,0.163,6,-14.202,1,0.0381,0.899,0.000761,0.184,0.14,119.257,246093,4,58.75138,14,1,0
"Piano Concerto No. 4 in G Major, Op. 58: 2. Andante con moto",381,"0IwHgqaRVCNV23mYMqGOzG",0.235,0.00528,4,-24.004,0,0.0495,0.986,0.669,0.102,0.0786,79.391,291400,4,17.94739,13,0,0
"Overture",434,"7773GyU7RjGy1a76VdycBG",0.0881,0.219,10,-16.413,1,0.0342,0.676,0.95,0.12,0.0826,85.227,392200,3,36.61726,19,0,0
"Darling Baby",778,"10u9028SSfRyIKxV4xrzsg",0.574,0.53,10,-10.111,1,0.0262,0.419,0,0.241,0.83,112.629,156107,3,52.53296,8,1,0
"O-O, I Love You",544,"2Q2C7VUg0cfhkI78RKT9Ik",0.246,0.328,11,-17.164,0,0.0313,0.449,0.000102,0.0875,0.51,175.188,199067,3,62.28357,9,1,0
"Si No Eres Tú",488,"5yPqXNNlFR4k0y5AAv6ra9",0.407,0.298,9,-15.341,1,0.0428,0.711,1.55e-06,0.118,0.377,102.986,151640,4,30.99569,8,0,0
"Grown So Ugly",139,"65JzLgk6SPx7mBoNlyjhgx",0.595,0.673,2,-8.961,1,0.0312,0.357,3.08e-06,0.0642,0.874,94.809,147307,4,51.59115,8,0,0
"Woman, Woman",902,"6kni0aRaJX8NNu63sfKTmr",0.473,0.527,6,-8.972,0,0.0278,0.524,0,0.216,0.619,107.549,196000,4,45.612,9,0,0
"Sixteen Tons",181,"0ccg3zeLoxwFa4c5hM6hCI",0.599,0.363,0,-14.03,1,0.197,0.75,0,0.118,0.586,106.532,188867,4,21.34749,10,1,0
"The Ballad Of Bonnie And Clyde",905,"1C2K7ouw8OYXVThAnSXID9",0.706,0.467,7,-9.523,1,0.0852,0.713,0,0.253,0.735,107.053,189947,4,38.24942,9,1,0
"Images de Paris",129,"010iqBKbMicdH6FHpoDGon",0.609,0.268,0,-11.388,1,0.0355,0.214,0,0.127,0.251,86.26,152449,3,23.94349,9,0,0
"Heartaches",464,"3BfRMHhQlhDJYaiULVPgvS",0.529,0.547,9,-10.475,1,0.0522,0.705,0,0.154,0.847,141.42,152200,4,24.78011,7,1,0
"L'amour c'est comme un jour",52,"5P0IHIvSUNV1cA17Q00Vj8",0.303,0.326,2,-9.375,0,0.0331,0.65,0.000111,0.458,0.26,118.219,223680,3,30.89385,11,0,0
"The First Girl I Loved - 2010 Remaster",908,"6dNZhA2gfBUvRgPghyeWsc",0.566,0.353,10,-11.868,1,0.0333,0.55,0,0.227,0.356,117.623,291240,4,41.03725,12,0,0
"12:15 Slow Goonbash Blues",909,"5I3ooBXK0t5mdNByZqdpDK",0.441,0.364,2,-15.26,1,0.0417,0.623,0.586,0.287,0.653,78.972,569693,3,52.14657,21,0,0
"(Marie's The Name) His Latest Flame",284,"4qbLOU1T7xgTH87eUSkvJ1",0.661,0.917,4,-6.329,0,0.0375,0.568,0.00202,0.134,0.893,105.289,127093,4,22.17031,8,1,0
"Lakmé / Act 1: ""Viens, Mallika, ... Dôme épais"" (Flower Duet)",910,"4L2D6eUEQOdvAyjc0khFAW",0.23,0.0596,11,-22.228,1,0.0434,0.976,3.54e-05,0.413,0.0627,83.771,363493,3,37.98506,13,0,0
"La terre promise",329,"3uqi6O8XNoYvZebqiE4OEN",0.155,0.0822,1,-11.653,0,0.0389,0.963,0.333,0.152,0.0718,136.797,91493,3,50.79789,4,0,0
"The Jitterbug",771,"6wDZC8YZ97vV2hBxvx3UVt",0.581,0.759,2,-5.424,1,0.0957,0.352,0.000176,0.812,0.95,96.63,135920,4,57.57381,5,1,0
"Amanhã, Ninguém Sabe",215,"7yTVcW3GVeFw3TkDUPvtL1",0.396,0.61,2,-5.991,0,0.0324,0.84,0,0.355,0.866,97.797,120067,4,21.85889,7,0,0
"(I'm A) Road Runner",39,"5llZqDjRHnn5pAUswFqQCf",0.751,0.689,5,-6.564,1,0.0281,0.0541,0,0.281,0.827,125.238,165947,4,31.03432,9,1,0
"La fille du régiment / Act 1: La la la ...chacum le sait, chacun le dit",172,"6zpdctYOw3RvffEGFcm3GA",0.34,0.165,5,-16.183,1,0.176,0.978,0.000248,0.265,0.104,179.792,247773,3,43.42941,11,0,0
"The Dangling Conversation",482,"1tQy2AqgFc0AdddmIboIfX",0.437,0.284,10,-13.116,1,0.0316,0.683,1.42e-06,0.115,0.322,91.719,158773,4,36.38687,7,1,0
"Lobo Mau (The Wanderer) - Versão remasterizada",269,"5nQblwbNHJ2rooqCWCuBas",0.455,0.602,0,-10.198,1,0.0335,0.122,0,0.12,0.769,127.414,168373,4,34.00283,10,0,0
"Las Vegas Tango",914,"1IEbtXrHgN37lTQi9Byx6g",0.301,0.459,9,-13.618,0,0.0365,0.129,0.0166,0.12,0.287,95.846,395293,4,35.84987,18,0,0
"The Birth Of The Beat",309,"0oqFp8uKw1phRylFTiEXHW",0.451,0.538,6,-14.752,0,0.051,0.248,0.697,0.221,0.127,120.899,188573,4,27.69781,8,1,0
"Calendar Girl",54,"7Gpx2fNJiilvrf9Ss8qbit",0.703,0.649,8,-7.727,0,0.0312,0.397,0,0.209,0.862,122.719,159693,4,77.85021,7,1,0
"Les Sabates - Versión 1966",35,"535JbBkwUkc9XRspqxBBqH",0.426,0.237,9,-11.747,0,0.0435,0.891,8.73e-05,0.224,0.688,174.472,163480,4,25.08583,9,0,0
"Hat And Beard",762,"2VzRmb0GCPDBv6FddHGu7s",0.465,0.644,8,-7.646,1,0.106,0.496,0.179,0.176,0.355,81.894,504867,4,24.04096,22,0,0
